t, desired_pos, desired_vel, desired_tor, pos, vel, tau
1.353901457786560059e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.887912087912098968e+00
1.356922602653503418e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.747252747252758809e+00
1.360113024711608887e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.758241758241751995e-02,4.817582417582428889e+00
1.363290739059448242e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.887912087912098968e+00
1.366486549377441406e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.817582417582428889e+00
1.369662141799926758e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.372763752937316895e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.817582417582428889e+00
1.375937032699584961e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.379111576080322266e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.382300019264221191e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.385463428497314453e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.388667392730712891e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.747252747252758809e+00
1.391835951805114746e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.394992423057556152e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.887912087912098968e+00
1.398180150985717773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.401328778266906738e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.747252747252758809e+00
1.404503202438354492e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.407691693305969238e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.747252747252758809e+00
1.410912919044494629e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.414063119888305664e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.417268800735473633e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.817582417582428889e+00
1.420453691482543945e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.958241758241769048e+00
1.423629593849182129e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.887912087912098968e+00
1.426785898208618164e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.429967617988586426e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.958241758241769048e+00
1.433161449432373047e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.958241758241769048e+00
1.436342787742614746e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.367521367521362663e-02,4.887912087912098968e+00
1.439524698257446289e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.887912087912098968e+00
1.442729663848876953e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.445878720283508301e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,2.148962148962141328e-02,4.887912087912098968e+00
1.449043726921081543e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.747252747252758809e+00
1.452250528335571289e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.817582417582428889e+00
1.455360817909240723e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-2.539682539682530660e-02,4.958241758241769048e+00
1.458568954467773438e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.747252747252758809e+00
1.461697220802307129e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.758241758241751995e-02,4.747252747252758809e+00
1.464961647987365723e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.817582417582428889e+00
1.468182301521301270e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.817582417582428889e+00
1.471330046653747559e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.958241758241769048e+00
1.474454879760742188e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.887912087912098968e+00
1.477620124816894531e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.817582417582428889e+00
1.480746793746948242e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.887912087912098968e+00
1.483922266960144043e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.747252747252758809e+00
1.487087154388427734e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.958241758241769048e+00
1.490252232551574707e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.493416309356689453e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.496562838554382324e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.958241758241769048e+00
1.499778199195861816e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.367521367521362663e-02,4.817582417582428889e+00
1.503447151184082031e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.958241758241769048e+00
1.506563997268676758e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.817582417582428889e+00
1.509775567054748535e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.512954616546630859e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.367521367521362663e-02,4.887912087912098968e+00
1.516151809692382812e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.958241758241769048e+00
1.518198871612548828e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.958241758241769048e+00
1.521365952491760254e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.887912087912098968e+00
1.524588990211486816e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.817582417582428889e+00
1.527728557586669922e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.758241758241751995e-02,5.028571428571439128e+00
1.530875015258789062e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.958241758241769048e+00
1.534068250656127930e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.537220954895019531e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.540404391288757324e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.747252747252758809e+00
1.543527030944824219e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.546693849563598633e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.367521367521362663e-02,4.887912087912098968e+00
1.549882650375366211e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.553057050704956055e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.958241758241769048e+00
1.556249594688415527e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.817582417582428889e+00
1.559441518783569336e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.817582417582428889e+00
1.562564468383789062e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.565759515762329102e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,9.768009768009733307e-03,4.887912087912098968e+00
